gene_id	A	B	p-value	FDR	significance
80746	0.291363	3.71301	0.000502103	0.01220445	UP
103959	7.61323	0.658309	0.000514638	0.012475865	DOWN
44362	17.305	99.7297	0.000519156	0.012528868	UP
72632	0.36689	3.87062	0.000520021	0.012528868	UP
112122	9.05035	1.13845	0.000520948	0.012528868	DOWN
82317	1.13006	10.6918	0.000524288	0.01257085	UP
74437	99.3988	14.077	0.000526687	0.01257085	DOWN
64397	10.5106	58.4379	0.000526831	0.01257085	UP
123614	371.303	66.8324	0.000532955	0.012683772	DOWN
70397	32.8644	5.12928	0.000538064	0.012760574	DOWN
78611	23.4494	177.261	0.000538982	0.012760574	UP
107571	18.0705	3.12162	0.000545125	0.012872576	DOWN
81122	0.921394	7.17363	0.000550435	0.012944146	UP
59137	92.7506	567.686	0.000550996	0.012944146	UP
45868	846.86	94.0165	0.000555464	0.013015564	DOWN
123125	37.5188	268.201	0.000560759	0.013105944	UP
46819	2.25365	0.0926487	0.000573528	0.013370096	DOWN
68812	670.843	5962.5	0.000575214	0.013375193	UP
112380	0.619018	7.33311	0.000577398	0.013391814	UP
72012	180.848	28.1214	0.000580237	0.013399281	DOWN
122375	32.9304	4.3371	0.00058066	0.013399281	DOWN
81389	64.6413	9.75123	0.000586978	0.01351087	DOWN
120705	7.60788	51.678	0.000600258	0.013781742	UP
77215	72.0727	12.5158	0.000601994	0.013786873	DOWN
45598	9.69225	54.5967	0.000604994	0.013820853	UP
31248	3.50391	24.8636	0.000610283	0.013906824	UP
77785	6.03925	38.769	0.000612041	0.013912104	UP
62716	310.346	2075.37	0.00061574	0.013961368	UP
21595	2.31484	15.2868	0.00062591	0.014156749	UP
42752	152.697	958.991	0.000634555	0.014316755	UP
79153	2.26921	12.4415	0.000636477	0.014324661	UP
54583	88.2805	12.3975	0.000653661	0.014655159	DOWN
111552	1.95328	20.6432	0.000654914	0.014655159	UP
66276	30.6017	176.049	0.000656428	0.014655159	UP
32849	22.7811	133.932	0.000657593	0.014655159	UP
105155	0.516867	0.0138045	0.000659256	0.014656386	DOWN
67430	51.9142	7.59709	0.000666147	0.014773552	DOWN
58264	320.576	58.7889	0.000669365	0.014803378	DOWN
21746	1.64382	16.2695	0.00067074	0.014803378	UP
120609	3.74804	0.38413	0.000676705	0.014898952	DOWN
76238	40.6932	479.426	0.000683757	0.015012624	UP
82049	20.3077	2.93121	0.000685162	0.015012624	DOWN
22845	158.722	28.5517	0.000687123	0.015019487	DOWN
121491	28.559	234.787	0.000708316	0.015445695	UP
