 proteinId	goAcc
2826	GO:0017116
2826	GO:0016887
2826	GO:0015616
2826	GO:0015462
2826	GO:0008186
2826	GO:0008094
2826	GO:0004004
2826	GO:0004003
2829	GO:0006468
2829	GO:0005524
2829	GO:0004672
2829	GO:0004713
2829	GO:0004674
2845	GO:0007186
2845	GO:0004871
2845	GO:0005525
2869	GO:0003676
2869	GO:0004308
2902	GO:0016491
2902	GO:0008152
2902	GO:0008678
2912	GO:0016021
2912	GO:0003865
2956	GO:0006512
2956	GO:0006464
2956	GO:0005622
2956	GO:0004842
2956	GO:0051028
2956	GO:0005737
2981	GO:0009346
2981	GO:0008815
3001	GO:0003676
3007	GO:0005634
3007	GO:0003677
3007	GO:0000785
3007	GO:0006355
3049	GO:0008235
3049	GO:0006508
3049	GO:0004239
3055	GO:0016491
3055	GO:0008152
3055	GO:0051341
3094	GO:0007040
3094	GO:0006665
3094	GO:0005764
3094	GO:0004348
3121	GO:0006118
3121	GO:0004497
3196	GO:0005975
3196	GO:0004559
3208	GO:0006298
3208	GO:0005524
3208	GO:0003684
3208	GO:0006259
3212	GO:0008094
3212	GO:0006270
3212	GO:0005524
3212	GO:0003677
3212	GO:0017111
3212	GO:0000166
3212	GO:0005634
3212	GO:0042626
3212	GO:0042625
3212	GO:0042624
3212	GO:0042623
3212	GO:0017116
3212	GO:0016887
3212	GO:0015616
3212	GO:0015462
3212	GO:0008186
3212	GO:0008026
3212	GO:0004004
3212	GO:0004003
3262	GO:0016491
3262	GO:0008152
3262	GO:0009013
3283	GO:0016491
3283	GO:0008152
3283	GO:0048258
3283	GO:0018453
3283	GO:0018452
3283	GO:0018451
3283	GO:0016616
3283	GO:0016229
3283	GO:0008875
3283	GO:0004495
3283	GO:0004448
3283	GO:0000253
3283	GO:0000252
3287	GO:0016491
3287	GO:0008152
3287	GO:0016630
3292	GO:0016491
3292	GO:0008152
3292	GO:0047038
3310	GO:0008270
3310	GO:0005634
3310	GO:0003676
3327	GO:0016491
3327	GO:0006118
3327	GO:0003959
3330	GO:0016021
3330	GO:0006810
3330	GO:0005215
3333	GO:0016491
3333	GO:0008270
3333	GO:0003960
3340	GO:0016020
3350	GO:0004632
3362	GO:0016773
3364	GO:0016491
3364	GO:0008270
3364	GO:0004025
3364	GO:0004024
3364	GO:0004023
3364	GO:0004022
3394	GO:0003676
3400	GO:0003676
3405	GO:0016020
3405	GO:0008643
3405	GO:0005351
3405	GO:0016021
3405	GO:0006810
3405	GO:0005215
3405	GO:0008733
3412	GO:0016020
3412	GO:0006810
3412	GO:0005215
3419	GO:0003676
3422	GO:0016491
3422	GO:0008152
3422	GO:0006118
3422	GO:0047115
3434	GO:0045735
3434	GO:0003824
3447	GO:0016491
3447	GO:0008270
3447	GO:0046029
3449	GO:0008270
3449	GO:0006355
3449	GO:0005634
3449	GO:0003700
3464	GO:0016491
3464	GO:0006118
3464	GO:0003995
3506	GO:0045543
3532	GO:0016021
3532	GO:0006810
3532	GO:0005215
3568	GO:0003824
3568	GO:0016042
3568	GO:0008247
3568	GO:0003847
3579	GO:0008026
3579	GO:0005524
3579	GO:0004386
3579	GO:0003676
3579	GO:0017111
3579	GO:0000166
3579	GO:0042626
3579	GO:0042625
3579	GO:0042624
3579	GO:0042623
3579	GO:0017116
3579	GO:0016887
3579	GO:0015616
3579	GO:0015462
3579	GO:0008186
3579	GO:0008094
3579	GO:0004004
3579	GO:0004003
3591	GO:0016742
3591	GO:0009058
3591	GO:0016597
3591	GO:0008152
3591	GO:0008864
3591	GO:0006189
3596	GO:0006779
3596	GO:0004418
3600	GO:0008152
3600	GO:0003824
3600	GO:0003882
3605	GO:0008270
3605	GO:0006355
3605	GO:0005634
3605	GO:0003700
3605	GO:0006350
3605	GO:0003677
3641	GO:0006520
3641	GO:0003962
3645	GO:0004081
3653	GO:0008415
3653	GO:0008152
3653	GO:0045252
3653	GO:0006099
3653	GO:0004149
3653	GO:0009354
3671	GO:0030532
3671	GO:0019843
3671	GO:0007046
3671	GO:0006364
3707	GO:0046921
3707	GO:0046920
3707	GO:0046527
3707	GO:0042283
3707	GO:0042281
3707	GO:0019187
3707	GO:0019112
3707	GO:0018718
3707	GO:0018717
3707	GO:0018716
3707	GO:0018715
3707	GO:0016759
3707	GO:0016758
3707	GO:0016253
3707	GO:0008921
3707	GO:0008417
3707	GO:0008378
3707	GO:0008376
3707	GO:0008375
3707	GO:0004583
3707	GO:0004576
3707	GO:0004376
3707	GO:0003980
3707	GO:0000033
3707	GO:0000030
3707	GO:0000026
3707	GO:0000009
3739	GO:0005975
3739	GO:0004553
3765	GO:0016020
3765	GO:0006810
3765	GO:0005215
3779	GO:0008408
3779	GO:0006260
3779	GO:0003887
3779	GO:0003677
3779	GO:0000166
3779	GO:0019984
3779	GO:0016452
3779	GO:0016451
3779	GO:0016450
3779	GO:0016449
3779	GO:0016448
3779	GO:0016000
3779	GO:0015999
3779	GO:0003895
3779	GO:0003894
3779	GO:0003893
3779	GO:0003891
3779	GO:0003890
3779	GO:0003889
3803	GO:0006396
3803	GO:0005622
3803	GO:0006397
3803	GO:0005634
3817	GO:0006508
3817	GO:0004182
3823	GO:0009086
3823	GO:0003871
3830	GO:0006468
3830	GO:0005524
3830	GO:0004672
3830	GO:0004713
3830	GO:0004674
3830	GO:0042557
3830	GO:0042556
3830	GO:0035004
3830	GO:0019914
3830	GO:0019912
3830	GO:0019199
3830	GO:0018720
3830	GO:0016909
3830	GO:0016908
3830	GO:0016773
3830	GO:0016538
3830	GO:0016307
3830	GO:0008819
3830	GO:0008607
3830	GO:0008545
3830	GO:0008443
3830	GO:0008384
3830	GO:0008349
3830	GO:0008339
3830	GO:0008338
3830	GO:0004718
3830	GO:0004716
3830	GO:0004715
3830	GO:0004714
3830	GO:0004712
3830	GO:0004711
3830	GO:0004710
3830	GO:0004709
3830	GO:0004708
3830	GO:0004707
3830	GO:0004706
3830	GO:0004705
3830	GO:0004704
3830	GO:0004703
3830	GO:0004702
3830	GO:0004701
3830	GO:0004700
3830	GO:0004698
3830	GO:0004697
3830	GO:0004696
3830	GO:0004695
3830	GO:0004694
3830	GO:0004693
3830	GO:0004692
3830	GO:0004690
3830	GO:0004689
3830	GO:0004688
3830	GO:0004686
3830	GO:0004683
3830	GO:0004681
3830	GO:0004680
3830	GO:0004679
3830	GO:0004677
3830	GO:0004676
3830	GO:0004675
3856	GO:0006355
3856	GO:0005634
3856	GO:0005507
3856	GO:0003700
3856	GO:0003677
3873	GO:0006198
3873	GO:0004115
3873	GO:0051342
3873	GO:0004114
3949	GO:0005634
3949	GO:0003677
3976	GO:0006950
3984	GO:0005509
4004	GO:0005634
4004	GO:0003677
4009	GO:0016491
4009	GO:0006100
4009	GO:0016615
4009	GO:0006108
4009	GO:0030060
4040	GO:0006350
4040	GO:0005634
4040	GO:0003899
4040	GO:0003677
